ID	Name	2007	2008	2009	2010	2011	2012
DZA	Algeria	394	325	319	198	190	145
AGO	Angola	248	369	239	238	194	242
BEN	Benin	474	641	682	689	690	511
BWA	Botswana	108	720	279	156	120	74
BFA	Burkina Faso	950	1001	1083	1062	995	1159
BDI	Burundi	479	522	561	630	575	523
CPV	Cabo Verde	165	222	196	328	252	246
CMR	Cameroon	1926	549	648	541	612	596
CAF	Central African Rep.	177	257	242	261	269	227
TCD	Chad	359	422	561	486	460	479
COM	Comoros	45	42	50	67	52	69
COG	Congo	119	485	283	1312	260	139
COD	Congo, Dem. Rep.	1357	1766	2357	3486	5534	2859
CIV	Côte d'Ivoire	171	626	2402	845	1436	2636
DJI	Djibouti	113	141	167	132	142	147
EGY	Egypt	1133	1742	1005	597	414	1807
GNQ	Equatorial Guinea	31	32	31	85	24	14
ERI	Eritrea	158	143	144	161	130	134
ETH	Ethiopia	2558	3329	3819	3525	3539	3261
GAB	Gabon	51	62	77	104	73	73
GMB	Gambia	97	94	127	120	135	139
GHA	Ghana	1165	1307	1582	1693	1810	1808
GIN	Guinea	228	328	214	218	204	340
GNB	Guinea-Bissau	122	134	147	125	120	79
KEN	Kenya	1327	1366	1776	1629	2482	2654
LSO	Lesotho	129	144	122	256	265	283
LBR	Liberia	701	1251	513	1417	765	571
LBY	Libya	19	74	41	9	642	87
MDG	Madagascar	894	843	444	470	443	379
MWI	Malawi	744	924	771	1023	800	1175
MLI	Mali	1019	964	984	1089	1281	1001
MRT	Mauritania	347	452	373	374	382	408
MUS	Mauritius	69	110	155	125	185	178
MAR	Morocco	1221	1451	930	993	1456	1480
MOZ	Mozambique	1777	1996	2012	1952	2085	2097
NAM	Namibia	217	210	326	256	291	265
NER	Niger	544	612	469	745	650	902
NGA	Nigeria	1956	1290	1657	2062	1769	1916
RWA	Rwanda	723	934	934	1032	1264	879
STP	São Tomé and Príncipe	51	47	31	49	72	49
SEN	Senegal	870	1069	1016	928	1060	1080
SYC	Seychelles	11	13	23	56	22	35
SLE	Sierra Leone	550	378	448	467	425	443
SOM	Somalia	394	766	662	498	1096	999
ZAF	South Africa	807	1125	1075	1031	1403	1067
SSD	South Sudan	..	..	..	..	1088	1578
SDN	Sudan	2121	2566	2351	2076	1124	983
SWZ	Swaziland	51	70	56	91	125	88
TZA	Tanzania	2822	2331	2933	2958	2446	2832
TGO	Togo	122	330	499	404	543	241
TUN	Tunisia	321	375	503	550	921	1017
UGA	Uganda	1737	1641	1785	1723	1578	1655
ZMB	Zambia	1008	1116	1267	914	1035	958
ZWE	Zimbabwe	478	612	736	732	716	1001
